grid_id,lat,lon,land_cover,priority,LST,NDVI,recommended_action,cost_estimate,cooling_c,cooling_per_rupee
+102088+29066,26.110881206285235,91.70765988314189,built_up,Medium,28.127398414686205,0.3753886905089165,Cool roof,535080.0,1.0,1.868879419899828e-06
+102088+29070,26.11447446728673,91.70765988305764,built_up,High,29.60442520441425,0.3893103970891106,Cool roof,535080.0,1.0,1.868879419899828e-06
+102088+29071,26.115372782393514,91.7076598830128,built_up,High,30.54049277143481,0.2860483531090527,Cool roof,535080.0,1.0,1.868879419899828e-06
+102088+29072,26.11627109761135,91.70765988293584,built_up,High,30.6858471653766,0.262944027380629,Cool roof,535080.0,1.0,1.868879419899828e-06
+102088+29073,26.117169412936647,91.7076598830526,built_up,High,29.84858481299165,0.3322879589358425,Cool roof,535080.0,1.0,1.868879419899828e-06
+102088+29074,26.118067728434365,91.707659883137,built_up,Medium,28.718571700608702,0.4237714995167278,Cool roof,535080.0,1.0,1.868879419899828e-06
+102088+29075,26.118966043493646,91.70765988318904,built_up,Medium,28.60361393200839,0.3881901950601998,Cool roof,535080.0,1.0,1.868879419899828e-06
+102088+29076,26.11986435911796,91.70765988320944,built_up,Medium,28.155376004822205,0.3772642693513146,Cool roof,535080.0,1.0,1.868879419899828e-06
+102088+29120,26.159390231112607,91.70765988317198,built_up,Medium,26.34290952324269,0.4639895639898462,Cool roof,535080.0,1.0,1.868879419899828e-06
+102088+29121,26.16028854709257,91.70765988309772,built_up,High,27.41804247041843,0.2811873129845948,Cool roof,535080.0,1.0,1.868879419899828e-06
+102088+29125,26.163881807881054,91.70765988315505,built_up,Medium,26.233890978923924,0.4002136235627344,Cool roof,535080.0,1.0,1.868879419899828e-06
+102088+29126,26.16478012294809,91.70765988314494,built_up,Medium,26.213940644822205,0.4145979006239122,Cool roof,535080.0,1.0,1.868879419899828e-06
+102088+29127,26.16567843813804,91.70765988310268,built_up,Medium,27.208840697144375,0.3519449010663689,Cool roof,535080.0,1.0,1.868879419899828e-06
+102088+29128,26.16657675387016,91.70765988302786,built_up,Medium,26.681185955619597,0.416897267662553,Cool roof,535080.0,1.0,1.868879419899828e-06
+102089+29062,26.107287945318863,91.70855819788896,built_up,Medium,28.15812623794057,0.446974834261642,Cool roof,535080.0,1.0,1.868879419899828e-06
+102089+29069,26.113576152036096,91.7085581982004,built_up,High,28.727552592437167,0.3059003052675114,Cool roof,535080.0,1.0,1.868879419899828e-06
+102089+29070,26.11447446731321,91.7085581980852,built_up,High,29.654793153512585,0.2975061274355974,Cool roof,535080.0,1.0,1.868879419899828e-06
+102089+29071,26.11537278221212,91.7085581979379,built_up,High,30.00083435817986,0.2130162869036239,Cool roof,535080.0,1.0,1.868879419899828e-06
+102089+29072,26.11627109758621,91.7085581977587,built_up,High,29.962290835467897,0.2580903507581364,Cool roof,535080.0,1.0,1.868879419899828e-06
+102089+29073,26.117169413067764,91.7085581977734,built_up,High,29.684866717053097,0.3116981342890161,Cool roof,535080.0,1.0,1.868879419899828e-06
+102089+29074,26.118067728539675,91.70855819798224,built_up,High,29.658618428274124,0.2805130618110937,Cool roof,535080.0,1.0,1.868879419899828e-06
+102089+29075,26.118966043390905,91.70855819793334,built_up,High,29.171213139912737,0.41209723463491,Cool roof,535080.0,1.0,1.868879419899828e-06
+102089+29078,26.121660989184583,91.70855819804622,built_up,Medium,27.963504584720692,0.4890614534455162,Cool roof,535080.0,1.0,1.868879419899828e-06
+102089+29104,26.145017186607102,91.70855819819587,built_up,Medium,25.10591431350619,0.4165348635929717,Cool roof,535080.0,1.0,1.868879419899828e-06
+102089+29117,26.156695285488468,91.70855819795014,built_up,Medium,25.10171065119065,0.4689983340046262,Cool roof,535080.0,1.0,1.868879419899828e-06
+102089+29118,26.15759360066312,91.7085581978808,built_up,Medium,25.876331964839395,0.5086903675134794,Cool roof,535080.0,1.0,1.868879419899828e-06
+102089+29120,26.159390230937824,91.70855819787135,built_up,Medium,26.055990447646664,0.4953686189311205,Cool roof,535080.0,1.0,1.868879419899828e-06
+102089+29121,26.160288547256147,91.70855819793177,built_up,Medium,27.251568850855463,0.360678780525188,Cool roof,535080.0,1.0,1.868879419899828e-06
+102089+29122,26.161186861660845,91.70855819796,built_up,Medium,28.06506141057289,0.4363730926138811,Cool roof,535080.0,1.0,1.868879419899828e-06
+102089+29127,26.16567843832777,91.70855819807107,built_up,Medium,27.048561854333105,0.3861285489518851,Cool roof,535080.0,1.0,1.868879419899828e-06
+102090+29063,26.108186260165876,91.7094565133118,built_up,Medium,27.320497926319845,0.4319288491554427,Cool roof,535080.0,1.0,1.868879419899828e-06
+102090+29070,26.114474467256997,91.70945651335556,built_up,Medium,28.97700479997207,0.4131597656481522,Cool roof,535080.0,1.0,1.868879419899828e-06
+102090+29071,26.115372782130432,91.70945651333182,built_up,High,29.269769700485885,0.2886068609652031,Cool roof,535080.0,1.0,1.868879419899828e-06
+102090+29072,26.11627109766096,91.70945651350242,built_up,High,29.29598578794695,0.3694218504106489,Cool roof,535080.0,1.0,1.868879419899828e-06
+102090+29073,26.117169413116702,91.70945651364111,built_up,Medium,29.258118446609632,0.4811511435096112,Cool roof,535080.0,1.0,1.868879419899828e-06
+102090+29074,26.11806772856332,91.70945651352233,built_up,High,29.655003357810045,0.2889019134745834,Cool roof,535080.0,1.0,1.868879419899828e-06
+102090+29075,26.11896604320651,91.70945651337183,built_up,Medium,29.252866105122216,0.4355465969857718,Cool roof,535080.0,1.0,1.868879419899828e-06
+102090+29076,26.119864359326066,91.70945651341547,built_up,Medium,28.647714256909936,0.4797521823197876,Cool roof,535080.0,1.0,1.868879419899828e-06
+102090+29121,26.16028854734596,91.70945651345984,built_up,Medium,27.015545857723463,0.3269106377113509,Cool roof,535080.0,1.0,1.868879419899828e-06
+102090+29122,26.161186861542863,91.7094565133966,built_up,Medium,27.29431710989488,0.4298724660185279,Cool roof,535080.0,1.0,1.868879419899828e-06
+102090+29127,26.165678438445138,91.7094565132817,built_up,Medium,27.138465089186468,0.4126427184041866,Cool roof,535080.0,1.0,1.868879419899828e-06
+102091+29062,26.107287945350397,91.71035482864583,built_up,Medium,27.43001345538045,0.53386224909807,Cool roof,535080.0,1.0,1.868879419899828e-06
+102091+29063,26.10818626020533,91.71035482877156,built_up,Medium,27.109024502207134,0.4829278556615541,Cool roof,535080.0,1.0,1.868879419899828e-06
+102091+29068,26.11267783631951,91.71035482870234,cropland,Medium,27.87299318182611,0.4838889432713881,Tree cover,334425.0,0.8,2.39216565747178e-06
+102091+29071,26.11537278214845,91.71035482864411,built_up,Medium,28.36337997878264,0.3631724791722209,Cool roof,535080.0,1.0,1.868879419899828e-06
+102091+29072,26.11627109783559,91.71035482871244,built_up,Medium,28.779428633702963,0.4272549702553166,Cool roof,535080.0,1.0,1.868879419899828e-06
+102091+29074,26.11806772832273,91.71035482852916,built_up,High,29.64074111247828,0.3327986272094526,Cool roof,535080.0,1.0,1.868879419899828e-06
+102091+29075,26.118966043304766,91.7103548285031,built_up,High,29.549829247228047,0.3929555731989162,Cool roof,535080.0,1.0,1.868879419899828e-06
+102091+29077,26.120762673572827,91.71035482858244,built_up,Medium,28.94104641180438,0.4119146454386982,Cool roof,535080.0,1.0,1.868879419899828e-06
+102091+29110,26.1504070782572,91.7103548287399,built_up,Medium,26.54702309776089,0.4089699237302922,Cool roof,535080.0,1.0,1.868879419899828e-06
+102091+29118,26.15759360092322,91.71035482872728,built_up,Medium,25.4867181570293,0.4058940567889449,Cool roof,535080.0,1.0,1.868879419899828e-06
+102091+29119,26.158491916129243,91.71035482866832,built_up,Medium,26.84222609176089,0.4290778939025579,Cool roof,535080.0,1.0,1.868879419899828e-06
+102091+29121,26.16028854718016,91.71035482845508,built_up,Medium,26.671957112489547,0.3590685715646169,Cool roof,535080.0,1.0,1.868879419899828e-06
+102091+29122,26.161186861715613,91.71035482852692,built_up,Medium,26.67040742769568,0.3755749254104567,Cool roof,535080.0,1.0,1.868879419899828e-06
+102092+29064,26.109084575185484,91.711253144014,cropland,Medium,27.337380367283533,0.5931798118192819,Tree cover,334425.0,0.8,2.39216565747178e-06
