grid_id,lat,lon,priority,vegetation_class,LST,exclusion_reason
+102203+29166,26.200712734272027,91.81096614050952,Low,vegetated,22.78748734067739,Low priority - no action needed (ML tiering)
+102203+29167,26.20161104955614,91.81096614050952,Low,vegetated,22.704086035514887,Low priority - no action needed (ML tiering)
+102203+29168,26.20250936484027,91.81096614050952,Low,vegetated,22.98906220591482,Low priority - no action needed (ML tiering)
+102203+29169,26.203407680124386,91.81096614050952,Low,vegetated,23.02594376355099,Low priority - no action needed (ML tiering)
+102203+29170,26.2043059954085,91.81096614050952,Low,vegetated,23.17499450814724,Low priority - no action needed (ML tiering)
+102203+29171,26.205204310692626,91.81096614050952,Low,vegetated,23.510610406763288,Low priority - no action needed (ML tiering)
+102203+29172,26.206102625976747,91.81096614050952,Low,vegetated,23.651411553864467,Low priority - no action needed (ML tiering)
+102204+29154,26.18993295086259,91.81186445579362,Low,sparse,24.86032014934708,Low priority - no action needed (ML tiering)
+102204+29157,26.19262789671495,91.81186445579362,Low,vegetated,25.63177883974163,Low priority - no action needed (ML tiering)
+102204+29158,26.193526211999067,91.81186445579362,Low,vegetated,25.17083624487312,Low priority - no action needed (ML tiering)
+102204+29159,26.1944245272832,91.81186445579362,Low,vegetated,25.033352638076124,Low priority - no action needed (ML tiering)
+102204+29160,26.195322842567304,91.81186445579362,Low,vegetated,24.98168671180867,Low priority - no action needed (ML tiering)
+102204+29161,26.196221157851426,91.81186445579362,Low,vegetated,25.491606515935484,Low priority - no action needed (ML tiering)
+102204+29162,26.197119473135547,91.81186445579362,Low,vegetated,25.59611936746858,Low priority - no action needed (ML tiering)
+102204+29163,26.198017788419666,91.81186445579362,Low,vegetated,24.94482066892809,Low priority - no action needed (ML tiering)
+102204+29164,26.198916103703787,91.81186445579362,Low,vegetated,24.379948801312576,Low priority - no action needed (ML tiering)
+102204+29165,26.199814418987906,91.81186445579362,Low,vegetated,23.6162348627968,Low priority - no action needed (ML tiering)
+102204+29166,26.200712734272027,91.81186445579362,Low,vegetated,23.024916806075417,Low priority - no action needed (ML tiering)
+102204+29167,26.20161104955614,91.81186445579362,Low,vegetated,22.780795674361872,Low priority - no action needed (ML tiering)
+102204+29168,26.202509364840264,91.81186445579362,Low,vegetated,22.75949275438549,Low priority - no action needed (ML tiering)
+102204+29169,26.203407680124386,91.81186445579362,Low,vegetated,22.74882994024792,Low priority - no action needed (ML tiering)
+102204+29170,26.2043059954085,91.81186445579362,Low,vegetated,22.721606176464853,Low priority - no action needed (ML tiering)
+102204+29171,26.205204310692626,91.81186445579362,Low,vegetated,23.023487658397364,Low priority - no action needed (ML tiering)
+102204+29172,26.206102625976744,91.81186445579362,Low,vegetated,23.436968086096712,Low priority - no action needed (ML tiering)
+102205+29153,26.18903463557848,91.81276277107776,Low,vegetated,25.56657027873434,Low priority - no action needed (ML tiering)
+102205+29154,26.1899329508626,91.81276277107776,Low,vegetated,24.510231078556505,Low priority - no action needed (ML tiering)
+102205+29157,26.19262789671495,91.81276277107776,Low,vegetated,25.346152084529308,Low priority - no action needed (ML tiering)
+102205+29158,26.19352621199907,91.81276277107776,Low,vegetated,25.14027938055436,Low priority - no action needed (ML tiering)
+102205+29159,26.19442452728319,91.81276277107776,Low,vegetated,24.88384998230128,Low priority - no action needed (ML tiering)
