system:index,Heat_Risk,LST,LandCover,Latitude,Longitude,NDBI,NDVI,Vegetation,count,grid_id,.geo
+102201+29163,-0.48188703418957424,25.26301219453214,10.0,26.19801778864313,91.80916950983219,-0.16621383012675428,0.6578164766561563,0.8854072708733678,1,+102201+29163,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80872035229922,26.197568630777607],[91.80961866758334,26.197568630777607],[91.80961866758334,26.198466946061725],[91.80872035229922,26.198466946061725],[91.80872035229922,26.197568630777607]]]}"
+102201+29164,-0.6447915637652649,23.970116058063848,10.0,26.198916103895584,91.8091695099435,-0.23289083016472106,0.728371282198396,1.0,1,+102201+29164,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80872035229922,26.198466946061725],[91.80961866758334,26.198466946061725],[91.80961866758334,26.199365261345847],[91.80872035229922,26.199365261345847],[91.80872035229922,26.198466946061725]]]}"
+102201+29165,-0.7522156191468045,22.833439063118043,10.0,26.199814419001573,91.80916950982125,-0.27236145158719216,0.7546041236552359,1.0,1,+102201+29165,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80872035229922,26.199365261345847],[91.80961866758334,26.199365261345847],[91.80961866758334,26.200263576629965],[91.80872035229922,26.200263576629965],[91.80872035229922,26.199365261345847]]]}"
+102201+29166,-0.7068598348697156,22.844049365775152,10.0,26.20071273469798,91.80916950969157,-0.2585848334872476,0.7100062181393696,1.0,1,+102201+29166,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80872035229922,26.200263576629965],[91.80961866758334,26.200263576629965],[91.80961866758334,26.201161891914083],[91.80872035229922,26.201161891914083],[91.80872035229922,26.200263576629965]]]}"
+102201+29167,-0.5727117534429917,23.20051564152649,10.0,26.201611049580702,91.80916950978047,-0.19475450612144407,0.6013200135520262,1.0,1,+102201+29167,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80872035229922,26.201161891914083],[91.80961866758334,26.201161891914083],[91.80961866758334,26.202060207198205],[91.80872035229922,26.202060207198205],[91.80872035229922,26.201161891914083]]]}"
+102201+29168,-0.3139608897229114,23.911954458376414,10.0,26.202509364681156,91.80916951008773,-0.039486007836748174,0.39338620817837,1.0,1,+102201+29168,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80872035229922,26.202060207198205],[91.80961866758334,26.202060207198205],[91.80961866758334,26.202958522482323],[91.80872035229922,26.202958522482323],[91.80872035229922,26.202060207198205]]]}"
+102201+29169,-0.40669540120225206,24.52835331094623,10.0,26.203407680830285,91.80916951016161,-0.13481968171278091,0.5301492091269832,1.0,1,+102201+29169,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80872035229922,26.202958522482323],[91.80961866758334,26.202958522482323],[91.80961866758334,26.203856837766445],[91.80872035229922,26.203856837766445],[91.80872035229922,26.202958522482323]]]}"
+102201+29170,-0.17704974536516813,25.243820514568554,10.0,26.204305995067532,91.80916951000167,-0.003548871710537466,0.35160835354863595,1.0,1,+102201+29170,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80872035229922,26.203856837766445],[91.80961866758334,26.203856837766445],[91.80961866758334,26.204755153050563],[91.80872035229922,26.204755153050563],[91.80872035229922,26.203856837766445]]]}"
+102201+29171,-0.3063482346281526,24.792859605171106,10.0,26.205204310535052,91.8091695098343,-0.1381341230410337,0.44869534928323185,1.0,1,+102201+29171,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80872035229922,26.204755153050563],[91.80961866758334,26.204755153050563],[91.80961866758334,26.20565346833468],[91.80872035229922,26.20565346833468],[91.80872035229922,26.204755153050563]]]}"
+102202+29144,0.14444748174469646,28.71632901867404,50.0,26.18094979788863,91.8100678254849,0.0692185041792076,0.27814744816059195,0.011905716347310191,1,+102202+29144,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.80961866758334,26.180500640379336],[91.81051698286745,26.180500640379336],[91.81051698286745,26.181398955663454],[91.80961866758334,26.181398955663454],[91.80961866758334,26.180500640379336]]]}"
