system:index,Heat_Risk,LST,NDVI,count,grid_id,.geo
+102146+29123,0.13304471434948925,27.15397089395254,0.1779532066471204,1,+102146+29123,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.161636019412825],[91.76021132695676,26.161636019412825],[91.76021132695676,26.162534334696947],[91.75931301167265,26.162534334696947],[91.75931301167265,26.161636019412825]]]}"
+102146+29124,0.2020851622665385,27.332533199605468,0.1216672091338523,1,+102146+29124,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.162534334696947],[91.76021132695676,26.162534334696947],[91.76021132695676,26.163432649981065],[91.75931301167265,26.163432649981065],[91.75931301167265,26.162534334696947]]]}"
+102146+29125,0.18644418291294493,27.508882138049337,0.14990454123343608,1,+102146+29125,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.163432649981065],[91.76021132695676,26.163432649981065],[91.76021132695676,26.164330965265183],[91.75931301167265,26.164330965265183],[91.75931301167265,26.163432649981065]]]}"
+102146+29126,0.15945946916208437,27.61441184303774,0.18442709105489696,1,+102146+29126,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.164330965265183],[91.76021132695676,26.164330965265183],[91.76021132695676,26.165229280549305],[91.75931301167265,26.165229280549305],[91.75931301167265,26.164330965265183]]]}"
+102146+29127,0.24317677116287068,27.502184665059378,0.09269356205565643,1,+102146+29127,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.165229280549305],[91.76021132695676,26.165229280549305],[91.76021132695676,26.166127595833423],[91.75931301167265,26.166127595833423],[91.75931301167265,26.165229280549305]]]}"
+102146+29128,0.21166655420468403,27.35666685108413,0.1138096494441824,1,+102146+29128,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.166127595833423],[91.76021132695676,26.166127595833423],[91.76021132695676,26.16702591111754],[91.75931301167265,26.16702591111754],[91.75931301167265,26.166127595833423]]]}"
+102146+29129,0.17091247245139418,27.553720506068448,0.1686389922677806,1,+102146+29129,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.16702591111754],[91.76021132695676,26.16702591111754],[91.76021132695676,26.167924226401663],[91.75931301167265,26.167924226401663],[91.75931301167265,26.16702591111754]]]}"
+102146+29130,0.25066622952585355,28.337791499312175,0.14489030613930196,1,+102146+29130,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.167924226401663],[91.76021132695676,26.167924226401663],[91.76021132695676,26.16882254168578],[91.75931301167265,26.16882254168578],[91.75931301167265,26.167924226401663]]]}"
+102146+29131,0.28534393596704927,28.111463076936214,0.09404628381410866,1,+102146+29131,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.16882254168578],[91.76021132695676,26.16882254168578],[91.76021132695676,26.169720856969903],[91.75931301167265,26.169720856969903],[91.75931301167265,26.16882254168578]]]}"
+102146+29132,0.3022491629860656,28.32894033125002,0.0926751463889356,1,+102146+29132,"{""geodesic"":false,""type"":""Polygon"",""coordinates"":[[[91.75931301167265,26.169720856969903],[91.76021132695676,26.169720856969903],[91.76021132695676,26.17061917225402],[91.75931301167265,26.17061917225402],[91.75931301167265,26.169720856969903]]]}"
